Tid,Fylke,Befolkning,Personbiler,Bruttoprodukt,Befolkning_pct_increase,Personbiler_pct_increase,Bruttoprodukt_pct_increase
2015,Troms - Romsa (-2019),163453.0,81071.0,64375.0,0.5365456736798957,2.848045061274199,3.217996408414572
2016,Troms - Romsa (-2019),164330.0,83129.0,71567.0,0.7923081604089333,2.5385156221090157,11.172038834951456
2017,Troms - Romsa (-2019),165632.0,84899.0,74564.0,0.5234495749613601,2.1292208495230303,4.187684267888831
2000,Vest-Agder (-2019),155691.0,,,0.7624075893918081,,
2001,Vest-Agder (-2019),156878.0,,,0.6202271829064624,,
2002,Vest-Agder (-2019),157851.0,,,0.8666400592964252,,
2003,Vest-Agder (-2019),159219.0,,,0.5702836972974331,,
2004,Vest-Agder (-2019),160127.0,,,0.7175554403692069,,
2005,Vest-Agder (-2019),161276.0,,,0.6454773183858726,,
2006,Vest-Agder (-2019),162317.0,,,0.8532686040279206,,
2007,Vest-Agder (-2019),163702.0,,,1.3695617646699492,,
2008,Vest-Agder (-2019),165944.0,72736.0,58290.0,1.37938099599865,,
2009,Vest-Agder (-2019),168233.0,74711.0,60267.0,1.2744229729006793,2.715299164100308,3.3916623777663406
2010,Vest-Agder (-2019),170377.0,76436.0,62543.0,1.1920623088797198,2.3088969495790446,3.7765277846914564
2011,Vest-Agder (-2019),172408.0,78403.0,65306.0,1.1113173402626328,2.5733947354649644,4.417760580720465
2012,Vest-Agder (-2019),174324.0,80161.0,68152.0,1.163924646061357,2.2422611379666595,4.3579456711481335
2013,Vest-Agder (-2019),176353.0,81843.0,68773.0,1.204969578062182,2.098277217100585,0.9111984974762295
2014,Vest-Agder (-2019),178478.0,83300.0,74163.0,1.3441432557514092,1.7802377723201739,7.837378040800895
2015,Vest-Agder (-2019),180877.0,85239.0,73945.0,1.0084200865781718,2.3277310924369745,-0.2939471164866578
2016,Vest-Agder (-2019),182701.0,86838.0,71914.0,0.7744894663959146,1.875901875901876,-2.746636013253094
2017,Vest-Agder (-2019),184116.0,88355.0,72838.0,1.3122162115188252,1.7469310670443814,1.2848680368217593
2000,Vestfold (-2019),212775.0,,,1.0598049582892728,,
2001,Vestfold (-2019),215030.0,,,0.6631632795423894,,
2002,Vestfold (-2019),216456.0,,,0.7923088295080755,,
2003,Vestfold (-2019),218171.0,,,0.599988082742436,,
2004,Vestfold (-2019),219480.0,,,0.5722617094951704,,
2005,Vestfold (-2019),220736.0,,,0.619744853580748,,
2006,Vestfold (-2019),222104.0,,,0.7654071966286065,,
